"name" "longitude" "latitude" "elevation" "type" "subtype" "locality" "county" "province" "country"
"140" "T009a" -3.41939580765443 36.9681542925522 1913 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"141" "T006b" -3.42488849567296 36.9684958019281 2031 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"142" "T019a" -3.42957498578826 36.964945748949 1950 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"143" "P007" -3.42276763523622 36.9599460678477 1793 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"144" "P003" -3.4344422974296 36.9579608294104 1830 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"145" "P001" -3.43397454441266 36.957352230809 1811 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"146" "P027" -3.4225108181972 36.9626772708386 1849 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"147" "D002p" -3.41266666333648 36.9679517385189 1778 "MH" "Pp-e" "CA" "Cáñar" "Granada" "Spain"
"148" "P005" -3.41807715237505 36.9673656945746 1878 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"149" "P006" -3.41825365638534 36.9667746444146 1874 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"150" "P020" -3.41851762942471 36.9676006069379 1889 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"151" "P024" -3.41994666195641 36.9651596379177 1858 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"152" "P034" -3.41711276411565 36.9666479522817 1851 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"153" "P013" -3.42074077063185 36.9621183870836 1804 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"154" "P016" -3.42096850400891 36.9630200649504 1824 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"155" "P015" -3.42144724374504 36.9634892458638 1832 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"156" "P018" -3.42132285352503 36.9644160443716 1840 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"157" "P011" -3.42021755353297 36.9634892759858 1817 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"158" "P038" -3.42445707643685 36.9591926034393 1789 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"159" "P033" -3.42464897973049 36.9617872293395 1843 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"160" "P030" -3.43110624394625 36.9596419741151 1866 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"161" "P035" -3.43226364350628 36.956448696871 1796 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"162" "D014" -3.41386969844236 36.9711080043127 1883 "MH" "Pp-i" "CA" "Cáñar" "Granada" "Spain"
"163" "D016" -3.40962105048446 36.9710323884167 1819 "MH" "Pp-i" "CA" "Cáñar" "Granada" "Spain"
"164" "D017" -3.40980050235548 36.9688818885748 1774 "MH" "Pp-i" "CA" "Cáñar" "Granada" "Spain"
"167" "D003r" -3.41358578436909 36.9681856944302 1804 "MH" "Pp-e" "CA" "Cáñar" "Granada" "Spain"
"170" "D001p" -3.41125457240893 36.967094576561 1736 "MH" "Pp-e" "CA" "Cáñar" "Granada" "Spain"
"171" "D001r" -3.4115706461879 36.9668889712933 1736 "MH" "Pp-e" "CA" "Cáñar" "Granada" "Spain"
"172" "P023" -3.41691337871071 36.9681945837339 1868 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"173" "P026" -3.41699074775102 36.9689920664517 1892 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"174" "P021" -3.42030212117676 36.966474450084 1883 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"175" "P022" -3.41801941825756 36.9649516091402 1833 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"176" "B004" -3.43449135357591 36.9564771276841 1802 "MH" "AC-e" "CA" "Cáñar" "Granada" "Spain"
"177" "B010" -3.42243344479662 36.9633128606465 1851 "MH" "AC-e" "CA" "Cáñar" "Granada" "Spain"
"178" "B008" -3.42100550709298 36.9646348227733 1847 "MH" "AC-e" "CA" "Cáñar" "Granada" "Spain"
"179" "B002" -3.41772073421762 36.9673324269984 1873 "MH" "AC-e" "CA" "Cáñar" "Granada" "Spain"
"180" "G007b" -3.35996860460293 37.1192134262571 1830 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"181" "G027b" -3.3561451346732 37.1163720537467 1973 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"182" "G027a" -3.3558572984647 37.1161971456729 1977 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"183" "G024b" -3.3552113483067 37.1176683592601 1916 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"184" "G014a" -3.35316992031527 37.1192023249938 1802 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"185" "G001a" -3.35924247955433 37.120366494322 1775 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"186" "G011b" -3.36035533080847 37.1175525167523 1920 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"187" "G021b" -3.35407108153178 37.1193483674843 1845 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"188" "G006b" -3.35997101583824 37.1197227077506 1799 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"189" "G026b" -3.35579295035846 37.1168778932978 1950 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"190" "G026a" -3.3555050498139 37.1166894636291 1954 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"191" "G013a" -3.36015504927952 37.1168047364013 1970 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"192" "G023b" -3.35474949227809 37.1183602226513 1891 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"193" "G020a" -3.35339924440714 37.1191437764974 1822 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"194" "G010b" -3.36023852201957 37.1179776935378 1901 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
