"","PROVINCIA","ESTADILLO","NUMORDEN","ESPECIE","FRACCAB","ALTUMED"
"571",18,438,1,"114","15","10"
"572",18,438,2,"117","10","3"
"573",18,438,3,"129","5","2"
"574",18,438,4,"104","3","4"
"575",18,439,1,"114","15","5"
"576",18,439,2,"129","10","2"
"577",18,439,3,"117","5","2"
"578",18,439,4,"101","3","10"
"579",18,439,5,"105","3","3"
"580",18,440,1,"114","10","10"
"581",18,440,2,"129","5","2"
"582",18,440,3,"103","3","5"
"583",18,440,4,"101","3","3"
"584",18,441,1,"114","10","10"
"585",18,441,2,"129","10","2"
"586",18,441,3,"104","3","3"
"587",18,441,4,"103","2","2"
"588",18,444,1,"104","10","3"
"589",18,444,2,"103","8","4"
"590",18,444,3,"129","4","2"
"591",18,445,1,"104","15","3"
"592",18,445,2,"129","5","2"
"593",18,445,3,"103","1","2"
"594",18,446,1,"129","8","2"
"595",18,446,2,"104","3","3"
"596",18,449,1,"103","3","3"
"597",18,451,1,"104","15","3"
"598",18,451,2,"129","5","2"
"599",18,451,3,"103","2","5"
"600",18,453,1,"104","30","2"
"601",18,453,2,"129","5","2"
"602",18,453,3,"119","1","3"
"603",18,458,1,"101","15","15"
"604",18,458,2,"114","10","10"
"605",18,458,3,"107","3","1"
"606",18,458,4,"104","2","3"
"607",18,458,5,"129","2","2"
"608",18,459,1,"114","20","5"
"609",18,459,2,"129","5","2"
"610",18,461,1,"129","15","2"
"611",18,461,2,"104","5","4"
"612",18,461,3,"103","2","5"
"613",18,462,1,"129","2","2"
"614",18,463,1,"104","5","5"
"615",18,463,2,"103","2","4"
"616",18,463,3,"129","2","2"
"617",18,465,1,"104","20","3"
"618",18,465,2,"129","8","2"
"619",18,466,1,"104","10","4"
"620",18,466,2,"129","5","2"
"621",18,467,1,"104","10","3"
"622",18,467,2,"129","5","2"
"623",18,467,3,"127","1","2"
"624",18,468,1,"117","10","6"
"625",18,468,2,"104","6","4"
"626",18,468,3,"129","5","2"
"627",18,469,1,"129","10","2"
"628",18,470,1,"129","15","2"
"629",18,470,2,"104","1","2"
"630",18,471,1,"129","9","2"
"631",18,471,2,"101","3","5"
"632",18,473,1,"104","15","3"
"633",18,473,2,"129","10","2"
"634",18,474,1,"104","8","4"
"635",18,474,2,"129","5","2"
"636",18,475,1,"104","15","3"
"637",18,475,2,"129","10","2"
"638",18,475,3,"116","1","4"
"639",18,476,1,"104","15","2"
"640",18,476,2,"129","5","2"
"641",18,477,1,"104","5","5"
"642",18,477,2,"105","2","3"
"643",18,477,3,"129","2","2"
"644",18,477,4,"103","2","3"
"645",18,478,1,"129","20","2"
"646",18,478,2,"104","8","4"
"647",18,479,1,"104","15","3"
"648",18,479,2,"129","8","2"
"649",18,480,1,"104","15","3"
"650",18,480,2,"103","5","7"
"651",18,480,3,"129","2","2"
"652",18,481,1,"114","15","5"
"653",18,481,2,"105","10","10"
"654",18,481,3,"129","5","2"
"655",18,481,4,"101","2","8"
