"","PROVINCIA","ESTADILLO","TIPO","ST","ESPECIE","PAE","FORMA","DN","DS","CRE","HT","VCC","VSC","IAVC","VLE"
"1137",18,657,2,11,45,0,5,139.5,127.5,0,4.5,30.803622,25.732012,0,0
"1138",18,657,3,12,45,0,4,158,142,0,4.5,37.678104,30.433476,0,0
"1139",18,659,1,7,25,0,3,87,73,12,3,10.059561,7.301482,0.708619,0
"1140",18,659,2,6,25,0,2,684,631,22,11.5,1776.565046,1492.994826,32.149769,0
"1141",18,660,1,9,26,0,3,138,105,18,4,34.936314,22.634881,2.048812,0
"1142",18,660,2,6,25,0,5,184.5,149.5,16,4.5,62.972222,43.814955,2.924612,0
"1143",18,660,3,7,25,0,3,147.5,121.5,30,4,38.715076,27.48482,3.778211,0
"1144",18,661,1,6,25,0,5,268.5,235.5,12,5.5,140.305983,108.250333,3.488744,0
"1145",18,661,2,6,25,0,2,368.5,302.5,12,7.5,427.884811,311.147373,7.836919,0
"1146",18,662,1,6,25,0,2,458.5,363.5,15,8,614.540574,431.529631,11.306251,0
"1147",18,663,1,6,25,0,2,351,289,15,10.5,501.613672,366.117589,11.947386,0
"1148",18,663,2,7,25,0,3,189,153,21,6.5,77.412024,53.798306,4.504024,0
"1149",18,663,3,6,25,0,2,325.5,265.5,17,9.5,394.151168,284.349243,11.375531,0
"1150",18,663,4,6,25,0,2,275.5,212.5,21,7.5,183.455547,123.18972,7.561193,0
"1151",18,664,1,6,25,0,2,261.5,220.5,17,8.5,221.808096,163.508772,7.876726,0
"1152",18,664,2,6,25,0,2,288.5,226.5,34,7,220.632194,151.618222,13.530683,0
"1153",18,664,3,6,25,0,2,295,240,18,6.5,192.023104,138.082282,6.423419,0
"1154",18,664,4,6,25,0,5,261,202,16,6.5,142.543559,94.437724,4.789355,0
"1155",18,667,1,3,24,0,2,440,370,8,8,571.788536,448.436221,5.379637,0
"1156",18,667,2,5,24,0,5,265,218,8,7,142.057946,106.457193,2.199221,0
"1157",18,667,3,3,24,0,2,268,231,14,9,241.6873,191.780184,6.3671,0
"1158",18,667,4,3,24,0,2,272.5,219.5,9,7,198.557419,144.870461,3.355758,0
"1159",18,670,1,6,25,0,5,347,277,19,6.5,245.664244,172.471509,7.41629,0
"1160",18,670,2,6,25,0,2,383,312,12,8,490.957852,356.878265,8.66123,0
"1161",18,672,1,1,21,0,2,279.5,231.5,8,6.5,197.664606,156.178027,3.090244,0
"1162",18,672,2,1,21,0,5,229.5,188.5,12,4.5,97.201139,74.665271,2.720192,0
"1163",18,672,3,1,21,0,2,339,293,14,8.5,380.578516,320.036978,8.49206,0
"1164",18,672,4,1,21,0,2,404.5,355.5,11,9,559.154543,484.208915,8.31556,0
"1165",18,673,1,1,21,0,2,235,194,17,6.5,133.240175,103.013754,5.069799,0
"1166",18,673,2,1,21,0,5,270.5,220.5,15,4,132.406534,100.725157,3.919,0
"1167",18,673,3,1,21,0,2,304.5,261.5,16,5.5,138.006787,114.119058,3.880309,0
"1168",18,673,4,1,21,0,2,267,224,35,7,164.05391,129.44479,10.739217,0
"1169",18,674,1,1,21,0,2,410,337,11,6.5,298.163381,237.306518,4.376066,0
"1170",18,674,2,1,21,0,2,428.5,380.5,13,6.5,355.592991,311.797724,5.883894,0
"1171",18,674,3,1,21,0,2,439,389,28,9,575.017535,502.916159,19.434908,0
"1172",18,674,4,1,21,0,2,245,210,29,6,128.83005,104.386144,7.702155,0
