"","PROVINCIA","ESTADILLO","NUMORDEN","TIPO","DIAMCOPA1","DIAMCOPA2","CORTEZA1","CORTEZA2","CRECIMI1","CRECIMI2","DIAMETR4","DIAMFF","ALTURFF","ALTUPV"
"1463",18,863,1,"1","5.7","5.7","40","45","24","25","17",NA,NA,NA
"1464",18,863,2,"2","5.4","6.5","35","37","24","21",NA,NA,NA,NA
"1465",18,863,3,"3","7.7","7.2","50","47","21","20","30",NA,NA,NA
"1466",18,863,4,"4","7.0","5.9","22","23","17","16","19",NA,NA,NA
"1467",18,864,1,"1","3.2","3.1","15","20","16","15",NA,NA,NA,NA
"1468",18,864,2,"2","3.2","4.2","25","25","21","17","9",NA,NA,NA
"1469",18,864,3,"3","3.9","3.1","27","30","12","12",NA,"8","2.7","1.8"
"1470",18,864,4,"4","3.9","4.3","6","8",NA,NA,NA,"17","1.8",NA
"1471",18,865,1,"1","4.0","3.8","40","45","7","12","18",NA,NA,NA
"1472",18,865,2,"2","3.6","3.4","33","35","6","9","17",NA,NA,NA
"1473",18,865,3,"3","6.2","5.7","40","43","15","21","17",NA,NA,NA
"1474",18,865,4,"4","6.4","8.1","43","47","12","15","40",NA,NA,NA
"1475",18,866,1,"1","7.9","7.1","38","40","7","9",NA,NA,NA,NA
"1476",18,869,1,"1","3.9","2.8","18","16","7","7","13",NA,NA,NA
"1477",18,869,2,"2","3.1","2.2","15","17","9","8","11",NA,NA,NA
"1478",18,869,3,"3","2.9","2.9","16","16","5","7","13",NA,NA,NA
"1479",18,869,4,"4","2.2","2.8","12","10","8","4",NA,NA,NA,NA
"1480",18,873,1,"1","5.6","4.8","25","27","13","17","22",NA,NA,NA
"1481",18,873,2,"2","1.9","2.6","21","26","9","10",NA,"8","2.5","2.6"
"1482",18,873,3,"3","3.5","2.6","13","12","7","7","8",NA,NA,NA
"1483",18,873,4,"4","3.1","3.3","15","20","11","9","10",NA,NA,NA
"1484",18,875,1,"1","3.9","3.7","16","17","17","18",NA,"8","2.6","0.7"
"1485",18,875,2,"2","1.9","2.5","5","7","18","17","8",NA,NA,NA
"1486",18,875,3,"3","5.1","4.4","14","17","17","20","8",NA,NA,NA
"1487",18,875,4,"4","4.2","4.8","12","10","18","18","10",NA,NA,NA
"1488",18,877,1,"1","4.8","5.6","22","23","25","21","13",NA,NA,NA
"1489",18,877,2,"2","6.3","6.7","28","30","30","27","24",NA,NA,NA
"1490",18,877,3,"3","5.5","4.6","20","22","31","30","18",NA,NA,NA
"1491",18,878,1,"1","6.4","5.9","17","19","16","12","24",NA,NA,NA
"1492",18,878,2,"2","4.6","3.9","15","19","13","21","19",NA,NA,NA
"1493",18,878,3,"3","6.3","5.5","19","25","12","17","25",NA,NA,NA
"1494",18,878,4,"4","6.1","6.2","17","20","16","16","25",NA,NA,NA
"1495",18,880,1,"1","5.5","6.5","15","17",NA,NA,NA,"27","1.9",NA
"1496",18,883,1,"1","3.2","3.8","30","32","9","7",NA,NA,NA,NA
"1497",18,883,2,"2","2.5","3.6","25","30","5","5",NA,NA,NA,NA
"1498",18,883,3,"3","3.0","3.4","22","26","4","3",NA,NA,NA,NA
"1499",18,883,4,"4","4.0","3.4","30","33","10","6",NA,NA,NA,NA
"1500",18,887,1,"1","3.7","3.8","18","20","6","6",NA,NA,NA,NA
"1501",18,887,2,"2","3.6","4.4","25","27","6","5",NA,NA,NA,NA
"1502",18,887,3,"3","2.9","3.3","14","15","3","4",NA,NA,NA,NA
"1503",18,887,4,"4","4.6","3.9","10","15","5","5",NA,NA,NA,NA
"1504",18,889,1,"1","6.2","7.0","12","13",NA,NA,NA,NA,NA,NA
"1505",18,889,2,"2","7.7","7.3","20","25","20","19","30",NA,NA,NA
"1506",18,889,3,"3","5.8","5.2","10","5",NA,NA,NA,NA,NA,NA
"1507",18,889,4,"4","5.0","4.8","26","28","12","11",NA,NA,NA,NA
"1508",18,891,1,"1","3.2","2.7","7","10",NA,NA,NA,NA,NA,NA
"1509",18,891,2,"2","4.1","3.9","4","4",NA,NA,NA,NA,NA,NA
"1510",18,891,3,"3","2.6","1.9","5","6",NA,NA,NA,NA,NA,NA
"1511",18,891,4,"4","2.5","3.4","4","5",NA,NA,NA,NA,NA,NA
"1512",18,892,1,"1","9.3","8.0","45","50","9","8","34",NA,NA,NA
"1513",18,892,2,"2","6.9","8.1","27","25","20","14","22",NA,NA,NA
"1514",18,892,3,"3","3.8","5.2","10","15","22","24","11",NA,NA,NA
"1515",18,892,4,"4","7.5","8.0","16","13","18","17","26",NA,NA,NA
"1516",18,893,1,"1","4.4","4.0","14","15","20","14",NA,NA,NA,NA
"1517",18,893,2,"2","3.3","3.0","15","16","13","16",NA,NA,NA,NA
"1518",18,893,3,"3","4.0","3.9","26","28","22","19",NA,NA,NA,NA
"1519",18,893,4,"4","4.5","5.2","40","38","14","14","20",NA,NA,NA
"1520",18,896,1,"1","2.6","2.0","5","8",NA,NA,NA,NA,NA,NA
"1521",18,896,2,"2","2.3","2.1","8","5",NA,NA,NA,NA,NA,NA
"1522",18,896,3,"3","2.4","2.4","6","5",NA,NA,NA,NA,NA,NA
