"","PROVINCIA","ESTADILLO","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2"
"1098",18,750,NA,960115,0,1,1,0,1,"S",960206,3,"0994","2","0994M07","518","4134","95","023","1","1","0","2","15","15","2","5","9","1","0","20","25","26","0","9","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","1","2","20",NA,NA,NA,NA,NA,NA,NA,NA,"26","45","15","95","97",NA,NA,"2","01","W","17",NA,NA,NA,"1","1","1",NA,"1",NA,"0","0",NA,NA,"01","240",NA,"8.00",NA
"1099",18,751,NA,960115,0,9,4,2,3,"S",960206,3,"0994","2","0994M08","519","4134","95","023","1","1","0","2","15","15","2","4","9","1","0","40","25","25","0","4","1","2",NA,"26",NA,"4",NA,"3",NA,"45",NA,"1",NA,"4","25","1","2","15","26","1","2","20","45","3","6",NA,"25","26","45","15",NA,NA,NA,"2","01","W","15",NA,NA,NA,"1","1","2",NA,"1",NA,"0","0",NA,NA,"01","300",NA,"7.00",NA
"1100",18,752,NA,960101,13,18,4,3,1,"S",960118,12,"0994","2","0994M09","521","4134","95","023","1","1","0","2","12","12","3","3","9","1","60","30","25","58","5","9","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","3","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","26","25","57","45",NA,NA,"2","01","W","18",NA,NA,NA,"1","1","1",NA,"0",NA,"0","0",NA,NA,"01","360",NA,"4.00",NA
"1101",18,753,NA,960115,0,0,0,2,2,"S",960206,3,"0994","2","0994M09","522","4134","95","039","1","1","0","2","13","13","2","4","9","1","60","10","25","26","5","7","3","2",NA,"25",NA,"3",NA,"2",NA,NA,NA,NA,NA,NA,"26","1","2","20","25","1","2","20",NA,NA,NA,NA,"26","25",NA,NA,NA,NA,NA,"2","01","W","19",NA,NA,NA,"6","1","2",NA,"1",NA,"0","0",NA,NA,"M217","320",NA,"6.75",NA
"1102",18,754,NA,960115,0,0,0,1,2,"S",960206,3,"0994","2","0994M10","525","4134","95","039","1","1","0","2","12","12","2","5","9","1","0","30","24","24","0","0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","1","2","15",NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,"2","01","W","20",NA,NA,NA,"1","1","1",NA,"1",NA,"0","0",NA,NA,"01","135",NA,"8.25",NA
"1103",18,755,NA,960101,13,14,4,1,3,"S",960118,12,"0994","2","0994M06","515","4133","95","023","5","1","0","2","19","19","2","5","9","1","0","30","25","21","0","5","1","3",NA,"25",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"21","1","2","22","25","1","2","29",NA,NA,NA,NA,"21","25","15","37","39",NA,NA,"2","01","W","20",NA,NA,NA,"1","1","2",NA,"1",NA,"2","0",NA,NA,"P713","290",NA,"7.50",NA
"1104",18,756,NA,960115,0,4,4,1,3,"S",960206,3,"0994","2","0994M08","519","4133","95","023","1","1","0","2","13","13","2","5","9","1","70","30","25","25","4","8","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","45","37","39",NA,NA,NA,"1","01","W","19",NA,NA,NA,"1","1","1",NA,"1",NA,"0","0",NA,NA,"M217","325",NA,"9.50",NA
"1105",18,757,NA,960116,0,5,4,2,4,"S",960206,3,"0995","2","0995M08","520","4133","95","023","0","0","0","2","13","13","0","3","0","1","0","30","0","58",NA,"4",NA,"4",NA,"57",NA,"3",NA,"2",NA,"53",NA,"1",NA,"2","58","3","6",NA,"57","3","6",NA,"53","3","6",NA,"58","57","53","26","45","39","24","1","01","W","18",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","180",NA,"4.00",NA
"1106",18,758,NA,960101,13,15,4,3,2,"S",960118,12,"0994","2","0994M09","521","4133","95","023","1","1","0","2","13","13","2","5","9","1","60","70","25","26","5","7","3","3",NA,"25",NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,"26","1","2","20","25","1","2","20",NA,NA,NA,NA,"26","25","45","15","37",NA,NA,"2","01","W","19",NA,NA,NA,"4","1","2",NA,"1",NA,"0","0",NA,NA,"01","285",NA,"8.75",NA
"1107",18,759,NA,960101,13,19,4,1,2,"S",960118,12,"0994","2","0994M09","522","4133","95","023","1","1","0","2","14","14","2","4","9","1","60","60","25","26","5","9","3","3",NA,"25",NA,"1",NA,"2",NA,NA,NA,NA,NA,NA,"26","1","2","21","25","1","2","15",NA,NA,NA,NA,"26","25",NA,NA,NA,NA,NA,"2","01","W","19",NA,NA,NA,"6","1","1",NA,"1","2","4","0",NA,NA,"M217","100",NA,"6.00",NA
