"","COD_LINEA","ESTRATO","ESPECIE","LIT_LINEA","CANT_P_MA","AREAB","VCC","VSC","IAVC","VLE"
"229",1,4,25,"10",46.52,0.356696,0.8333018,0.5780115,0.0765871,0.0763968
"230",1,4,25,"15",55.09,0.9535238,3.1287422,2.0728719,0.232099,0.2389672
"231",1,4,25,"20",34.28,1.0681322,4.1143756,2.8858446,0.1966776,0.301438
"232",1,4,25,"25",26.39,1.2637935,5.6055859,4.0682248,0.19266,0.3893002
"233",1,4,25,"30",15.78,1.0827539,5.3144419,3.9362949,0.1525214,0.3589669
"234",1,4,25,"35",8.16,0.7451241,3.9944172,2.9921106,0.1024828,0.2617791
"235",1,4,25,"40",4.62,0.5598931,3.3353087,2.5257267,0.0771468,0.2084983
"236",1,4,25,"45",2.55,0.4065039,2.5754298,1.9675264,0.0548934,0.1602201
"237",1,4,25,"50",0.69,0.1382663,0.9096592,0.7007824,0.0180417,0.0571707
"238",1,4,25,"55",0.69,0.1680887,1.067193,0.8261924,0.0202847,0.0723675
"239",1,4,25,"60",0.29,0.085392,0.5690048,0.4433275,0.0102212,0.0380778
"240",1,4,25,"65",0.1,0.0316558,0.2315286,0.1818558,0.0038781,0.0144211
"241",1,4,25,"70",0.29,0.1824461,1.2085884,0.9933317,0.0125718,0.0959913
"242",2,4,25,"TOTALES",195.45,7.0422694,32.8875771,24.1721012,1.1500656,2.273595
"243",3,4,25,"S2 (X)",86597.41,90.05,3066.71,1729.76,2.72,10.29
"244",1,4,26,"10",2.45,0.0216076,0.0347445,0.0070736,0.0120054,0.004758
"245",1,4,26,"15",3.67,0.0721417,0.5201708,0.3484967,0.0237352,0.0175357
"246",1,4,26,"20",3.06,0.102085,0.6578621,0.4520282,0.0243528,0.0263924
"247",1,4,26,"25",4.62,0.2320997,1.9018242,1.3504735,0.0545855,0.0630315
"248",1,4,26,"30",5.99,0.4231271,3.3824095,2.4389308,0.093061,0.1197196
"249",1,4,26,"35",4.35,0.4206593,3.3355594,2.4448826,0.0934094,0.1235268
"250",1,4,26,"40",1.63,0.2071177,1.768815,1.3221031,0.052845,0.0628616
"251",1,4,26,"45",0.29,0.0477695,0.3855628,0.2921261,0.0123213,0.0149304
"252",1,4,26,"50",0.29,0.0549581,0.4467439,0.3424861,0.0152078,0.0174694
"253",1,4,26,"55",0.1,0.0250364,0.1940152,0.1524468,0.0075616,0.008261
"254",1,4,26,"60",0.1,0.0270045,0.2143563,0.1702622,0.0088578,0.0089918
"255",2,4,26,"TOTALES",26.55,1.6336066,12.8420637,9.3213097,0.3979428,0.4674782
"256",3,4,26,"S2 (X)",30424.84,135.07,8528.56,4511.11,7.74,11.13
"257",1,4,43,"50",0.1,0.0194237,0.0583059,0.046626,0.000332,0.0127027
"258",1,4,43,"60",0.2,0.0569741,0.1614427,0.1304938,0.0001788,0.0392564
"259",1,4,43,"65",0.1,0.032201,0.079693,0.0643714,9.79e-05,0.0225595
"260",1,4,43,"70",0.2,0.0807549,0.2169169,0.1774496,0.0001959,0.0583461
"261",2,4,43,"TOTALES",0.6,0.1893537,0.5163585,0.4189408,0.0008046,0.1328647
"262",3,4,43,"S2 (X)",17.95,1.86,13.86,9.12,0,0.91
"263",1,4,45,"10",7.35,0.0678179,0.1457857,0.1089742,0,0.0392956
"264",1,4,45,"15",6.73,0.1139397,0.2458889,0.1916625,0,0.078645
"265",1,4,45,"20",4.9,0.1418492,0.3282367,0.265524,0,0.1131908
"266",1,4,45,"25",1.36,0.0660846,0.1284925,0.1056349,0,0.0610171
"267",1,4,45,"30",0.82,0.0561197,0.0979357,0.0817492,0,0.0571256
"268",1,4,45,"70",0.1,0.0391056,0.0958964,0.0826682,0,0.0654146
"269",2,4,45,"TOTALES",21.26,0.4849167,1.0422359,0.836213,0,0.4146887
"270",3,4,45,"S2 (X)",9470.78,4.81,23.06,14.83,0,3.16
"271",4,4,0,"10",110.19,0.9024696,2.1356495,1.5625243,0.1939771,0.2577084
"272",4,4,0,"15",113.23,1.9418276,6.4120391,4.5934846,0.4663254,0.5884595
"273",4,4,0,"20",61.83,1.8953531,7.3519142,5.4255026,0.3526639,0.6332451
"274",4,4,0,"25",44.34,2.1499315,10.0819368,7.5265765,0.3588021,0.7163073
